,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality_numpy,pagerank,information_centrality,global_reaching_centrality
3HXKYNDCL,4057.2166666668727,0.024527221674648138,2.768815292386453e-05,0.4787447428016823,2.422748360100034e-05,0.011723525412163316,0.00013513509824035353,0.0008090532432808384,0.2110179478678302
3HXKYNOXDA,3160.650000000399,0.004287096219585822,9.125059969456237e-06,0.38841933959787917,1.4672199127517053e-05,0.011604068542169749,0.00013513444725341141,0.0007969491211697452,0.2110179478678302
3M4HDXPAC,4302.849999999939,0.028534687291824283,9.737668829202605e-05,0.5042251601471991,7.307909089267472e-05,0.011765960614470553,0.00013513554274136461,0.0008098463851785748,0.2110179478678302
3MLDAt,2627.1833333332074,2.044586372453926e-05,0.0002703067982159749,0.33528185608120353,0.00027030679821597514,0.011568701868712613,0.0001351351359376003,0.00011586411854554747,0.2110179478678302
3MOBt2im,4303.18333333332,0.025064831067225606,0.0020050366596625307,0.4974786525919451,0.0017724087793700954,0.01177579252920997,0.00013513646741291756,0.0008099839787785972,0.2110179478678302
3MOPt2im,4303.18333333332,0.02506484581705419,0.0020047391700436434,0.4974786525919451,0.0017722508109022077,0.01177579253154703,0.00013513646733804842,0.00080998397874133,0.2110179478678302
3MOX4HOXPGALDOX,4302.849999999939,0.028534687291824283,9.737668829202605e-05,0.5042251601471991,7.307909089267472e-05,0.011765960614470553,0.00013513554274136461,0.000809846385178539,0.2110179478678302
3MOX4HOXPGALDOX_NADP,4300.183333333277,0.02853089235794757,8.359581962001871e-05,0.5040190735694823,6.089570492884007e-05,0.011765381531142809,0.0001351354927480582,0.0008098377241195598,0.2110179478678302
3MOXTYROX,3775.3833333336115,0.014731588563807954,7.114853573426059e-05,0.4485329776915616,6.224254569157907e-05,0.011680687591031068,0.00013513514506525388,0.0008076605722313944,0.2110179478678302
3NTD7l,2614.8071428569583,3.10275365960766e-05,9.661424863362725e-06,0.32205971968312,1.9155640026846597e-05,0.011593978186133511,0.00013513516769622403,0.0007886260527995103,0.2110179478678302
3SALAASPm,2993.066666666911,0.0007097562568001652,2.2268055661992343e-05,0.3748986623429266,3.0679238007806764e-05,0.011575510991487488,0.00013513403170311433,0.0007385021900806982,0.2110179478678302
3SALACBOXL,4057.300000000206,0.02451939266621549,3.623025734109561e-05,0.478682797438054,3.284514405475297e-05,0.011723640297034706,0.00013513512555152915,0.0008090559994875425,0.2110179478678302
3SALAOX,3006.3166666668894,0.003571451948092419,4.291060742639451e-06,0.3703573931324457,6.3168603370959265e-06,0.011597402338317646,0.0001351342636158436,0.000793393098810547,0.2110179478678302
